#element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Ei(eV),Ek(eV),g_i,g_k,Type
Al,2,422.7987,7850000,15.0621276,17.993766,3,5,
Al,2,429.3943,485000,13.841265,16.727874,1,3,
Al,2,434.6903,4180000,15.301941,18.15338,5,7,
Al,2,434.7275,4280000,15.302186,18.15338,7,9,
Al,2,434.7275,367000,15.302186,18.15338,7,7,
Al,2,434.7825,5580,15.302546,18.15338,9,7,
Al,2,434.7825,285000,15.302546,18.15338,9,9,
Al,2,434.7825,4560000,15.302546,18.15338,9,11,
Al,2,458.5818,10000000,15.062034,17.764921,7,9,
Al,2,458.811,1120000,15.062034,17.763571,7,7,
Al,2,458.8199,8910000,15.062086,17.763571,5,7,
Al,2,458.9591,44000,15.062034,17.762699,7,5,
Al,2,458.968,1560000,15.062086,17.762699,5,5,
Al,2,458.975,8410000,15.0621276,17.762699,3,5,
Al,2,463.937,6660000,15.301941,17.97363,5,7,
Al,2,463.979,582000,15.302186,17.97363,7,7,
Al,2,463.979,6790000,15.302186,17.97363,7,9,
Al,2,464.042,452000,15.302546,17.97363,9,9,
Al,2,464.042,7240000,15.302546,17.97363,9,11,
Al,2,464.042,8880,15.302546,17.97363,9,7,
Al,2,466.3046,58100000,10.598337,13.25646,5,3,
Al,2,514.442,11700000,15.301941,17.71134,5,7,
Al,2,514.494,1030000,15.302186,17.71134,7,7,
Al,2,514.494,11900000,15.302186,17.71134,7,9,
Al,2,514.571,12700000,15.302546,17.71134,9,11,
Al,2,514.571,15600,15.302546,17.71134,9,7,
Al,2,514.571,796000,15.302546,17.71134,9,9,
Al,2,515.823,12600000,15.30839,17.71134,7,9,
Al,2,527.868,1110000,15.585203,17.93332,1,3,
Al,2,528.0216,1490000,15.5859083,17.933345,3,5,
Al,2,528.027,832000,15.5859083,17.93332,3,3,
Al,2,528.3733,2000000,15.5875046,17.933378,5,7,
Al,2,528.3809,499000,15.5875046,17.933345,5,5,
Al,2,528.386,55300,15.5875046,17.93332,5,3,
Al,2,528.5838,3280000,15.6057689,17.950709,3,5,
Al,2,538.8682,1430000,15.0475561,17.347743,1,3,
Al,1,555.7059,230000,3.1427212,5.3732134,2,4,
Al,1,555.7944,229000,3.1427212,5.3728582,2,2,
Al,2,559.33,92600000,13.25646,15.4725,3,5,
Al,2,561.329,3430000,15.4725,17.680649,5,7,
Al,2,585.376,12800000,15.062034,17.17947,7,9,
Al,2,586.177,11400000,15.062086,17.17663,5,7,
Al,2,586.162,1430000,15.062034,17.17663,7,7,
Al,2,586.764,56100,15.062034,17.17446,7,5,
Al,2,586.779,1990000,15.062086,17.17446,5,5,
Al,2,586.79,10700000,15.0621276,17.17446,3,5,
Al,2,597.197,5810000,15.6057689,17.681296,3,5,
Al,2,599.987,2070000,15.585203,17.651077,1,3,
Al,2,600.187,2790000,15.5859083,17.651096,3,5,
Al,2,600.192,1550000,15.5859083,17.651077,3,3,
Al,2,600.641,3710000,15.5875046,17.651132,5,7,
Al,2,600.651,928000,15.5875046,17.651096,5,5,
Al,2,600.657,103000,15.5875046,17.651077,5,3,
Al,2,606.112,8380000,15.6057689,17.65077,3,1,
Al,2,606.636,888000,15.585203,17.628438,1,3,
Al,2,606.845,2660000,15.5859083,17.628438,3,3,
Al,2,607.32,4430000,15.5875046,17.628438,5,3,
Al,2,618.158,24100000,15.301941,17.30709,5,7,
Al,2,618.233,24400000,15.302186,17.30709,7,9,
Al,2,618.233,2090000,15.302186,17.30709,7,7,
Al,2,618.345,1630000,15.302546,17.30709,9,9,
Al,2,618.345,26100000,15.302546,17.30709,9,11,
Al,2,618.345,32100,15.302546,17.30709,9,7,
Al,2,620.153,25900000,15.30839,17.30709,7,9,
Al,2,622.619,62500000,13.071347,15.0621276,1,3,
Al,2,623.162,46700000,13.07308,15.0621276,3,3,
Al,2,623.175,84000000,13.07308,15.062086,3,5,
Al,2,624.307,3110000,13.076729,15.0621276,5,3,
Al,2,624.32,27900000,13.076729,15.062086,5,5,
Al,2,624.337,111000000,13.076729,15.062034,5,7,
Al,2,631.99,216000,15.30839,17.269654,7,5,
Al,2,633.571,15300000,13.649399,15.6057689,5,3,
Al,2,649.313,2160,15.301941,17.210881,5,7,
Al,2,649.323,959000,15.301941,17.21085,5,3,
Al,2,649.323,107000,15.301941,17.21085,5,5,
Al,2,649.396,76400,15.302186,17.210881,7,7,
Al,2,649.407,852000,15.302186,17.21085,7,5,
Al,2,649.519,880000,15.302546,17.210881,9,7,
Al,2,660.981,2200000,15.4725,17.347743,5,3,
Al,1,669.6018,1000000,3.1427212,4.993821,2,4,
Al,2,669.64302,274000,14.8896243,16.7406102,3,5,
Al,1,669.8667,1000000,3.1427212,4.9930889,2,2,
Al,2,669.93138,273000,14.8896243,16.7398135,3,3,
Al,2,670.08477,274000,14.8896243,16.7393899,3,1,
Al,2,681.689,12000000,13.071347,14.8896243,1,3,
Al,2,682.339,35900000,13.07308,14.8896243,3,3,
Al,2,683.713,59400000,13.076729,14.8896243,5,3,
Al,1,690.5638,1080000,4.0214836,5.816394,4,6,
Al,1,690.6279,76900,4.0216502,5.816394,6,6,
Al,1,690.6279,1150000,4.0216502,5.816394,6,8,
Al,2,691.793,9900000,15.4725,17.2642222,5,7,
Al,2,692.034,100000000,13.25646,15.0475561,3,1,
Al,2,702.464,215000,13.841265,15.6057689,1,3,
Al,2,704.208,57800000,11.316596,13.076729,3,5,
Al,2,705.671,57400000,11.316596,13.07308,3,3,
Al,2,706.368,57300000,11.316596,13.071347,3,1,
Al,1,708.3969,1540000,4.0214836,5.7712093,4,6,
Al,1,708.4643,110000,4.0216502,5.7712093,6,6,
Al,1,708.4643,1650000,4.0216502,5.7712093,6,8,
Al,2,713.289,2590000,16.544168,18.28189,5,7,
Al,2,713.563,227000,16.544833,18.28189,7,7,
Al,2,713.563,2640000,16.544833,18.28189,7,9,
Al,2,713.919,3450,16.5457,18.28189,9,7,
Al,2,713.919,175000,16.5457,18.28189,9,9,
Al,2,713.919,2810000,16.5457,18.28189,9,11,
Al,2,725.931,2680000,16.574428,18.28189,7,9,
Al,2,727.283,150000,16.3926349,18.096925,3,5,
Al,2,730.815,2560000,16.46794,18.163991,7,9,
Al,2,730.89,2270000,16.467928,18.163808,5,7,
Al,2,730.894,285000,16.46794,18.163808,7,7,
Al,2,730.948,399000,16.467928,18.163673,5,5,
Al,2,730.953,11200,16.46794,18.163673,7,5,
Al,2,730.956,2150000,16.467947,18.163673,3,5,
Al,1,732.7472,366000,4.0852554,5.776835,2,4,
Al,1,733.5645,437000,4.0872183,5.776914,4,6,
Al,1,733.5985,72800,4.0872183,5.776835,4,4,
Al,2,734.056,146000,16.3926349,18.081198,3,3,
Al,1,736.1568,2320000,4.0214836,5.7052289,4,6,
Al,1,736.2296,166000,4.0216502,5.7052289,6,6,
Al,1,736.2296,2490000,4.0216502,5.7052289,6,8,
Al,2,737.226,144000,16.3926349,18.073939,3,1,
Al,2,737.659,480000,15.0475561,16.727874,1,3,
Al,2,738.424,1060000,15.062034,16.7406102,7,5,
Al,2,738.447,188000,15.062086,16.7406102,5,5,
Al,2,738.46495,12500,15.0621276,16.7406102,3,5,
Al,2,738.798,940000,15.062086,16.7398135,5,3,
Al,2,738.81564,314000,15.0621276,16.7398135,3,3,
Al,2,739.0022,1250000,15.0621276,16.7393899,3,1,
Al,2,744.944,11600000,15.6057689,17.269654,3,5,
Al,2,747.141,55700000,13.649399,15.30839,5,7,
Al,1,760.6162,436000,4.0852554,5.7148562,2,4,
Al,2,760.899,30900,16.467928,18.096925,5,5,
Al,2,760.904,172000,16.46794,18.096925,7,5,
Al,2,760.907,2050,16.467947,18.096925,3,5,
Al,1,761.482,520000,4.0872183,5.7149663,4,6,
Al,1,761.5335,86800,4.0872183,5.7148562,4,4,
Al,2,762.466,4590000,15.585203,17.21085,1,3,
Al,2,762.797,6200000,15.5859083,17.21085,3,5,
Al,2,762.797,3450000,15.5859083,17.21085,3,3,
Al,2,763.532,8250000,15.5875046,17.210881,5,7,
Al,2,763.547,229000,15.5875046,17.21085,5,3,
Al,2,763.547,2060000,15.5875046,17.21085,5,5,
Al,2,768.316,150000,16.467928,18.081198,5,3,
Al,2,768.325,49900,16.467947,18.081198,3,3,
Al,2,770.252,3680000,16.544168,18.15338,5,7,
Al,2,770.571,3750000,16.544833,18.15338,7,9,
Al,2,770.571,322000,16.544833,18.15338,7,7,
Al,2,770.986,250000,16.5457,18.15338,9,9,
Al,2,770.986,4000000,16.5457,18.15338,9,11,
Al,2,770.986,4900,16.5457,18.15338,9,7,
Al,2,771.798,197000,16.467947,18.073939,3,1,
Al,2,773.088,14300000,15.6057689,17.209081,3,1,
Al,2,781.233,1550000,15.585203,17.171798,1,3,
Al,2,781.581,4640000,15.5859083,17.171798,3,3,
Al,2,782.368,7700000,15.5875046,17.171798,5,3,
Al,1,783.5309,3710000,4.0214836,5.6034263,4,6,
Al,1,783.6134,265000,4.0216502,5.6034263,6,6,
Al,1,783.6134,3970000,4.0216502,5.6034263,6,8,
Al,1,806.5969,442000,4.0852554,5.62196,2,4,
Al,1,807.5353,528000,4.0872183,5.6221371,4,6,
Al,1,807.6285,88100,4.0872183,5.62196,4,4,
Al,2,808.686,2020000,16.6035135,18.136247,5,7,
Al,2,811.965,2910000,16.46794,17.994485,7,9,
Al,2,812.188,324000,16.46794,17.994066,7,7,
Al,2,812.182,2580000,16.467928,17.994066,5,7,
Al,2,812.341,454000,16.467928,17.993766,5,5,
Al,2,812.347,12800,16.46794,17.993766,7,5,
Al,2,812.351,2440000,16.467947,17.993766,3,5,
Al,2,835.432,42700000,15.062034,16.5457,7,9,
Al,2,835.92,4750000,15.062034,16.544833,7,7,
Al,2,835.949,37900000,15.062086,16.544833,5,7,
Al,2,836.296,187000,15.062034,16.544168,7,5,
Al,2,836.325,6640000,15.062086,16.544168,5,5,
Al,2,836.348,35800000,15.0621276,16.544168,3,5,
Al,2,864.07,30000000,11.821968,13.25646,1,3,
Al,2,867.11,5520000,16.544168,17.97363,5,7,
Al,2,867.514,483000,16.544833,17.97363,7,7,
Al,2,867.514,5620000,16.544833,17.97363,7,9,
Al,2,868.041,7340,16.5457,17.97363,9,7,
Al,2,868.041,375000,16.5457,17.97363,9,9,
Al,2,868.041,5990000,16.5457,17.97363,9,11,
Al,1,877.2871,6470000,4.0214836,5.4343639,4,6,
Al,1,877.3902,6950000,4.0216502,5.4343644,6,8,
Al,1,877.3905,462000,4.0216502,5.4343639,6,6,
Al,2,880.303,1650000,16.727874,18.13591,3,5,
Al,1,882.8903,672000,4.0852554,5.4891689,2,2,
Al,1,884.1265,1340000,4.0872183,5.4891689,4,2,
Al,1,891.2918,228000,4.0852554,5.4759355,2,4,
Al,2,892.234,616,16.544168,17.933378,5,7,
Al,2,892.256,30700,16.544168,17.933345,5,5,
Al,2,892.27,275000,16.544168,17.93332,5,3,
Al,1,892.3565,273000,4.0872183,5.4762391,4,6,
Al,1,892.5516,45400,4.0872183,5.4759355,4,4,
Al,2,892.662,21900,16.544833,17.933378,7,7,
Al,2,892.684,245000,16.544833,17.933345,7,5,
Al,2,893.22,252000,16.5457,17.933378,9,7,
Al,2,894.512,558000,16.7393899,18.12506,1,3,
Al,2,894.785,418000,16.7398135,18.12506,3,3,
Al,2,894.785,754000,16.7398135,18.12506,3,5,
Al,2,895.268,1000000,16.7406102,18.12511,5,7,
Al,2,895.3,27900,16.7406102,18.12506,5,3,
Al,2,895.3,250000,16.7406102,18.12506,5,5,
Al,2,919.873,3420000,16.6035135,17.950984,5,7,
Al,2,928.663,64600000,15.301941,16.63666,5,7,
Al,2,928.833,66100000,15.302186,16.63666,7,9,
Al,2,928.833,5660000,15.302186,16.63666,7,7,
Al,2,929.084,4400000,15.302546,16.63666,9,9,
Al,2,929.084,70100000,15.302546,16.63666,9,11,
Al,2,929.084,86200,15.302546,16.63666,9,7,
Al,2,933.172,71500000,15.30839,16.63666,7,9,
Al,2,955.682,1910000,16.46794,17.764921,7,9,
Al,2,956.67,1690000,16.467928,17.763571,5,7,
Al,2,956.678,212000,16.46794,17.763571,7,7,
Al,2,957.054,387000,15.30839,16.6035135,7,5,
Al,2,957.314,296000,16.467928,17.762699,5,5,
Al,2,957.322,8360,16.46794,17.762699,7,5,
Al,2,957.328,1600000,16.467947,17.762699,3,5,
Al,2,981.801,438000,16.4624524,17.72493,1,3,
Al,2,987.357,2010000,15.4725,16.727874,5,3,
Cu,2,102.7830823,170000000,3.2563892,15.31909404,5,5,
Cu,2,103.6469217,101000000,3.2563892,15.21855811,5,5,
Cu,2,103.934743,200000000,2.71881633,14.647859,7,7,
Cu,2,103.9581895,200000000,2.83268156,14.75903379,5,5,
Cu,2,104.451849,230000000,2.71881633,14.5888023,7,9,
Cu,2,104.474317,480000000,3.2563892,15.12382247,5,5,
Cu,2,104.9363833,111000000,2.83268156,14.647859,5,7,
Cu,2,104.9755242,104000000,3.2563892,15.06716123,5,7,
Cu,2,105.015339,140000000,2.83268156,14.6389757,5,3,
Cu,2,105.040243,82000000,2.71881633,14.5223113,7,5,
Cu,2,105.2174562,73000000,2.97541889,14.75903379,3,5,
Cu,2,105.4689891,210000000,3.2563892,15.01190137,5,7,
Cu,2,105.579644,210000000,2.71881633,14.4620079,7,7,
Cu,2,105.6954368,400000000,3.2563892,14.98671572,5,5,
Cu,2,105.879854,190000000,2.71881633,14.4287114,7,7,
Cu,2,106.063409,300000000,2.83268156,14.5223113,5,5,
Cu,2,106.300505,420000000,2.97541889,14.6389757,3,3,
Cu,2,106.919523,103000000,2.83268156,14.4287114,5,7,
Cu,2,107.374516,150000000,2.97541889,14.5223113,3,5,
Cu,2,135.87729,330000000,0,9.12471804,1,3,
Cu,2,136.79509,83000000,0,9.06349793,1,3,
Cu,2,147.2395,8000000,0,8.4205799,1,3,
Cu,2,149.283423,550000000,9.0166042,17.3218932,5,5,
Cu,2,151.449222,480000000,8.64228154,16.8288009,9,7,
Cu,2,153.213042,1000000000,8.8687809,16.9610553,7,5,
Cu,2,153.755884,1400000000,8.64228154,16.7059859,9,9,
Cu,2,154.058814,900000000,8.8687809,16.9166293,7,7,
Cu,2,154.17558,1400000000,10.5868585,18.6286118,5,5,
Cu,2,154.84165,1000000000,10.9554919,18.962653,5,5,
Cu,2,155.065296,730000000,9.0166042,17.0122164,5,5,
Cu,2,155.264631,1900000000,8.64228154,16.6276287,9,11,
Cu,2,155.389596,1400000000,9.0166042,16.9955295,5,7,
Cu,2,155.513425,1300000000,8.8687809,16.84135293,7,9,
Cu,2,155.570295,680000000,8.64228154,16.6119391,9,7,
Cu,2,168.31596,110000000,8.64228154,16.0084397,9,7,
Cu,2,174.45159,59000000,8.8687809,15.9758644,7,5,
Cu,2,179.06599,45000000,9.0166042,15.940543,5,3,
Cu,2,192.067133,15000000,8.23486741,14.69012064,5,7,
Cu,2,192.975129,21000000,8.64228154,15.06716123,9,7,
Cu,2,194.459601,19900000,2.71881633,9.09464957,7,5,
